Exercise Name,Equipment,Variation,Utility,Mechanics,Force,Preparation,Execution,Target_Muscles,Synergist_Muscles,Stabilizer_Muscles,Antagonist_Muscles,Dynamic_Stabilizer_Muscles,Main_muscle,Difficulty (1-5),Secondary Muscles,parent_id
Reverse Wrist Curl,Dumbbell,No,Basic or Auxiliary,Isolated,Pull,Sit and grip dumbbell with overhand grip. Rest forearm on thigh with wrist just beyond knee.,Raise dummbell by pointing knuckles upward as high as possible. Return until knuckles are pointing downward as far as possible. Repeat.,"Wrist Extensors,","None, ","No significant stabilizers, ",,,Forearm,1,Brachioradialis,
Reverse Wrist Curl,Lever (plate loaded),No,Basic or Auxiliary,Isolated,Pull,Grasp bar with overhand grip. Place forearm on padded platform.,Raise bar until wrist is fully hyperextended and return until wrist is fully flexed. Repeat.,"Wrist Extensors,","None, ","No significant stabilizers, ",,,Forearm,1,Brachioradialis,
Reverse Wrist Curl,Lever (selectorized),No,Basic or Auxiliary,Isolated,Pull,Grasp handles with overhand grip to each side. Place forearms on arm pads.,Raise handles until wrist is fully hyperextended. Lower handles until wrists are fully flexed. Repeat.,"Wrist Extensors,","None, ","No significant stabilizers, ",,,Forearm,1,Brachioradialis,
Seated Pronation ,Dumbbell,No,Auxiliary,Isolated,Push,"Sit next to elevated surface, approximately arm pit height. With hand of upper arm, grasp unilaterally loaded dumbbell; pinkie positioned near weighted side. Bend elbow approximately 90-degrees and place upperarm on elevated surface. Position thumb upward (supinated).",Rotate dumbbell so thumb turns downward (pronation). Return and repeat.,"Pronators,","None, ","No significant stabilizers, ",,,Forearm,1,Brachioradialis,
Seated Pronation ,Lever (selectorized),No,Auxiliary,Isolated,Push,Sit on seat. Grasp rotating handles with underhand grip on each side and place forearms on pads.,Rotate shafts by turning palm downward. Return and repeat.,"Pronators,","None, ","No significant stabilizers, ",,,Forearm,1,Brachioradialis,
Seated Supination,Dumbbell,No,Auxiliary,Isolated,Pull,"Sit next to elevated surface, approximately arm pit height. With hand of arm next to elevated surface, grasp unilaterally loaded dumbbell; thumb next to side with weight. Bend elbow approximately 90-degrees and place upperarm on elevated surface. Position thumb downward (pronated).",Rotate dumbbell so thumb turns upward (supination). Return and repeat.,"Supinator,","Biceps Brachii, ",,,,Forearm,1,Biceps Brachii,
Seated Supination,Lever (selectorized),No,Auxiliary,Isolated,Pull,Sit on seat. Grasp rotating handles with overhand grip on each side and place forearms on pads.,Rotate shafts by turning palm upward. Return and repeat.,"Supinator,","Biceps Brachii, ",,,,Forearm,1,Biceps Brachii,
Bent-over Row,Barbell,No,Basic,Compound,Pull,Bend knees slightly and bend over bar with back straight. Grasp bar with wide overhand grip.,Pull bar to upper waist. Return until arms are extended and shoulders are stretched downward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Erector Spinae, Hamstrings, Gluteus Maximus, Adductor Magnus, Quadriceps, ","Rectus Abdominis, Obliques, ","Biceps Brachii, Triceps, Long Head, ",Back,3,"Biceps Brachii, Trapezius, Rhomboids",
Bent-over Row:  Underhand,Barbell,Yes,Basic or Auxiliary,Compound,Pull,Bend knees slightly and bend over bar with back straight. Grasp bar with underhand grip.,Pull bar to waist. Return until arms are extended and shoulders are stretched downward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Latissimus Dorsi, Teres Major, Deltoid, Posterior, Trapezius, Middle, Trapezius, Lower, Rhomboids, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Erector Spinae, Hamstrings, Gluteus Maximus, Adductor Magnus, Quadriceps, ","Rectus Abdominis, Obliques, ","Biceps Brachii, Triceps, Long Head, ",Back,3,"Biceps Brachii, Trapezius, Rhomboids",166
One Arm Bent-over Row,Cable,No,Auxiliary,Compound,Pull,"Grasp cable stirrup. Step back away from pulley, with foot on same side as exercising arm, positioned out to side well behind forward foot. Bend over with hand on nearby bar or above knee for support. Keep back straight and knees slightly bent. Allow shoulder with stirrup to be pulled forward.","Pull cable attachment to side of torso, pulling shoulder back. Return until arm is extended and shoulder is stretched forward. Repeat. Continue with opposite arm.","Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Obliques, Hamstrings, Gluteus Maximus, Triceps (Supporting Arm), ",,"Biceps Brachii, Triceps, Long Head, ",Back,3,"Biceps Brachii, Trapezius, Rhomboids",
One Arm Straight Back Seated High Row,Cable,No,Basic or Auxiliary,Compound,Pull,Sit on seat or bench. Bend forward and grasp cable stirrup with one hand. Position torso upright allowing shoulder to be pulled forward under weight on cable.,"Pull cable attachment to side of torso while pulling shoulder back, arching spine, and pushing chest forward. Return until arm is extended and shoulder is pulled forward. Repeat. Continue with opposite arm.","Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Erector Spinae, Obliques, Quadratus Lumborum, ","Rectus Abdominis, ","Biceps Brachii, Triceps, Long Head, ",Back,3,"Biceps Brachii, Trapezius, Rhomboids",
Seated Row,Cable,No,Basic,Compound,Pull,Sit slightly forward on seat or bench in order to   grasp cable attachment. Place feet on vertical platform. Slide hips back positioning knees with slight bend.,"Pull cable attachment to waist while straightening lower back. Pull shoulders back and push chest forward while arching back. Return until arms are extended, shoulders are stretched forward, and lower back is flexed forward. Repeat.","Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Erector Spinae, Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Hamstrings, Gluteus Maximus, Adductor Magnus, ",,"Biceps Brachii, Triceps, Long Head, ",Back,2,"Biceps Brachii, Trapezius, Rhomboids",
Seated Row:  Straight Back,Cable,Yes,Basic,Compound,Pull,Sit slightly forward on bench with feet on foot bar or vertical platform. Grasp close grip cable attachment. Straighten torso   upright and slide hips back so knees are slightly bent.,"Pull cable attachment to waist. Pull shoulders back and lift chest by arching back. Return until arms are extended, back is straight, and shoulders are stretched forward. Repeat.","Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Erector Spinae, Hamstrings, Gluteus Maximus, Adductor Magnus, ","Rectus Abdominis, Obliques, ","Biceps Brachii, Triceps, Long Head, ",Back,2,"Biceps Brachii, Trapezius, Rhomboids",170
Seated Wide Grip Row,Cable,No,Basic or Auxiliary,Compound,Pull,"Sit slightly forward on platform in order to grasp cable attachment. With awider than shoulder width grip, slide hips back positioning knees with slight bend.","Pull cable attachment to waist while pulling torso upright.   Pull shoulders back and push chest forward while arching back. Return until arms are extended, shoulders are stretched forward, and lower back is flexed forward. Repeat.","Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, Erector Spinae, ","Hamstrings, Gluteus Maximus, Adductor Magnus, ",,"Biceps Brachii, Triceps, Long Head, ",Back,2,"Latissimus Dorsi, Trapezius, Rhomboids",
Seated Wide Grip Row:  Straight Back,Cable,Yes,Basic or Auxiliary,Compound,Pull,"Sit slightly forward on bench or platform in order to grasp cable bar attachment. With wider than shoulder width overhand grip, straighten torso upright and slide hips back until knees are only   slightly bent.","Pull cable attachment to waist. Pull shoulders back and lift chest by arching back. Return until arms are extended, back is straight, and shoulders are stretched forward. Repeat.","Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Erector Spinae, Hamstrings, Gluteus Maximus, Adductor Magnus, ","Rectus Abdominis, Obliques, ","Biceps Brachii, Triceps, Long Head, ",Back,2,"Latissimus Dorsi, Trapezius, Rhomboids",172
Bent-over Row,Dumbbell,No,Basic,Compound,Pull,Kneel over side of bench by placing knee and hand of supporting arm on bench. Position foot of opposite leg slightly back to side. Grasp dumbbell from floor.,Pull dumbbell to up to side until it makes contact with ribs or until upper arm is just beyond horizontal. Return until arm is extended and shoulder is stretched downward. Repeat and continue with opposite arm.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Triceps (supporting arm), ",,"Biceps Brachii, Triceps, Long Head, ",Back,3,"Biceps Brachii, Trapezius, Rhomboids",
Lying Row,Dumbbell,No,Basic,Compound,Pull,Lie chest down on elevated bench. Grasp dumbbells below.,Pull dumbbells to sides until upper arm is just beyond horizontal or height of back. Return until arms are extended and shoulders are stretched downward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ",,,,Back,2,"Biceps Brachii, Trapezius, Rhomboids",
Incline Row,Lever (plate loaded),No,Basic,Compound,Pull,Lie chest on inclined platform and grasp lever handles with overhand grip.,Pull lever up as high as possible. Return until arms are extended and shoulders are stretched downward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ",,,,Back,3,"Biceps Brachii, Trapezius, Rhomboids",
Incline Row:  Close Grip,Lever (plate loaded),Yes,Basic,Compound,Pull,Lie chest on inclined platform and grasp lever close grip handles.,Pull lever up as high as possible. Return until arms are extended and shoulders are stretched downward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ",,,,Back,3,"Biceps Brachii, Brachialis, Trapezius",176
Seated Rows,Lever (plate loaded),No,Basic,Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with underhand grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ",,,,Back,2,"Biceps Brachii, Trapezius, Rhomboids",
Seated Rows:  Narrow Grip,Lever (plate loaded),Yes,Basic,Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with underhand grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ",,,,Back,2,"Biceps Brachii, Brachialis, Trapezius",178
"Seated Rows:  Wide Grip

Low Bar

",Lever (plate loaded),Yes,Basic,Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with underhand grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ",,,,Back,2,"Latissimus Dorsi, Trapezius, Rhomboids",178
Seated Rows (Others),Lever (plate loaded),No,Auxiliary,Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with overhand/neutral grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ",,,,Back,2,"Biceps Brachii, Trapezius, Rhomboids",
Seated Rows (Others):  Seated Low Row,Lever (plate loaded),Yes,Auxiliary,Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with overhand/neutral grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ",,,,Back,2,"Biceps Brachii, Trapezius, Rhomboids",181
Seated Rows (Others):  Seated High Row,Lever (plate loaded),Yes,Basic,Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with overhand grip.,Pull lever back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ",,,,Back,2,"Biceps Brachii, Trapezius, Rhomboids",181
T-bar Row,Lever (plate loaded),No,Basic,Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with overhand grip.,Pull lever back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,"Latissimus Dorsi,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Erector Spinae, Hamstrings, Gluteus Maximus, Adductor Magnus, Quadriceps, ",,,Back,3,"Biceps Brachii, Trapezius, Rhomboids",
T-bar Row:  Close grip,Lever (plate loaded),Yes,Basic,Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with overhand grip.,Pull lever back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Erector Spinae, Hamstrings, Gluteus Maximus, Adductor Magnus, Quadriceps, ",,,Back,3,"Biceps Brachii, Brachialis, Trapezius",184
Seated Row,Lever (selectorized),No,Basic,Compound,Pull,Sit on seat and position chest against pad. Push foot lever if available. Grasp narrower parallel grip handles.,Pull lever back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ",,,,Back,2,"Biceps Brachii, Trapezius, Rhomboids",
Seated Row:  Wide Grip,Lever (selectorized),Yes,Basic,Compound,Pull,Sit on seat and position chest against pad. Grasp outer lever handles with overhand grip.,Pull lever back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ",,,,Back,2,"Latissimus Dorsi, Trapezius, Rhomboids",186
Seated Row (no chest pad),Lever (selectorized),No,Basic,Compound,Pull,Sit on seat and grasp handles with each hand. Place feet on vertically angled platform. Slide hips back with knees slightly bent.,"Pull handles to waist while straightening torso upright. Pull shoulders back and push chest forward while arching back. Return until arms are extended, shoulders are stretched forward, and lower back is flexed forward. Repeat.","Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Erector Spinae, Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Hamstrings, Gluteus Maximus, Adductor Magnus, ",,,Back,3,"Biceps Brachii, Trapezius, Rhomboids",
Seated Row (no chest pad):  Straight Back,Lever (selectorized),Yes,Basic,Compound,Pull,Sit on seat and grasp handles with each hand. Place feet on vertically angled platform. Slide hips back with knees slightly bent.,"Pull handles to waist while straightening torso upright. Pull shoulders back and push chest forward while arching back. Return until arms are extended, shoulders are stretched forward, and lower back is flexed forward. Repeat.","Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Erector Spinae, Hamstrings, Gluteus Maximus, Adductor Magnus, ","Rectus Abdominis, Obliques, ","Biceps Brachii, Triceps, Long Head, ",Back,3,"Biceps Brachii, Trapezius, Rhomboids",188
Underhand Seated Row,Lever (selectorized),No,Basic,Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with underhand grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ",,,,Back,2,"Biceps Brachii, Brachialis, Trapezius",
Bent-over Row,Smith,No,Basic,Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with underhand grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Erector Spinae, Hamstrings, Gluteus Maximus, Adductor Magnus, Quadriceps, ",,,Back,3,"Biceps Brachii, Trapezius, Rhomboids",
Inverted Row,Weighted,No,Basic or Auxiliary,Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with underhand grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Erector Spinae, Gluteus Maximus, Hamstrings, ",,,Back,3,"Biceps Brachii, Trapezius, Rhomboids",
Inverted Row,Body Weight,No,Basic or Auxiliary,Compound,Pull,Lay on back under fixed horizontal bar. Grasp bar with wide overhand grip.,"Keeping body straight, pull body up to bar. Pull shoulders back at top of movement with chest high. Return until arms are extended and shoulders are stretched forward. Repeat.","Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Erector Spinae, Hamstrings, Gluteus Maximus, ","Rectus Abdominis, Obliques, ","Biceps Brachii, Triceps, Long Head, ",Back,3,"Biceps Brachii, Trapezius, Rhomboids",
Inverted Row:  Feet Elevated,Body Weight,Yes,Basic or Auxiliary,Compound,Pull,Lay on back under fixed horizontal bar. Grasp bar with wide overhand grip. Place back of heels on elevated surface.,"Keeping body straight, pull body up to bar. Pull shoulders back at top of movement with chest high. Return until arms are extended and shoulders are stretched forward. Repeat.","Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Erector Spinae, Hamstrings, Gluteus Maximus, ","Rectus Abdominis, Obliques, ","Biceps Brachii, Triceps, Long Head, ",Back,4,"Biceps Brachii, Trapezius, Rhomboids",193
Inverted Row:  High Bar,Body Weight,Yes,Basic or Auxiliary,Compound,Pull,"Stand facing arms length away from waist to head height horizontal bar. Grasp bar with wide overhand grip. Position body under bar with legs, hips and spine straight. Arms should be straight, approximately perpendicular to body. Heels should make contact with floor.","Keeping body straight, pull body up to bar. Pull shoulders back at top of movement with chest high. Return until arms are extended and shoulders are stretched forward. Repeat.","Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Erector Spinae, Hamstrings, Gluteus Maximus, ","Rectus Abdominis, Obliques, ","Biceps Brachii, Triceps, Long Head, ",Back,3,"Biceps Brachii, Trapezius, Rhomboids",193
Inverted Row:  On Hips,Body Weight,Yes,Basic or Auxiliary,Compound,Pull,Lay on back with belly under fixed horizontal bar. Bend knees and position feet on floor. Grasp bar with wide overhand grip.,"Keeping hips on floor and low back straight, pull torso up to bar. Pull shoulders back at top of movement with chest high. Return until arms are extended and shoulders are stretched forward. Repeat.","Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Erector Spinae, ","Rectus Abdominis, Obliques, ","Biceps Brachii, Triceps, Long Head, ",Back,3,"Biceps Brachii, Trapezius, Rhomboids",193
Inverted Row,Suspended,No,Basic or Auxiliary,Compound,Pull,"Position suspension handles higher than arms' length above floor. Sit on floor and grasp handles. Position body supine hanging from handles with arms straight, shoulders under handles, body straight, and back of heels on floor.",Pull body up so sides of chest make contact with handles while keeping body straight. Pull shoulders back at top of movement with chest high. Return until arms are extended straight and shoulders are stretched forward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Erector Spinae, Gluteus Maximus, Hamstrings, ",,,Back,3,"Biceps Brachii, Trapezius, Rhomboids",
Inverted Row:  One Arm,Suspended,Yes,Basic or Auxiliary,Compound,Pull,"Position suspension handles higher than arms' length above floor. Sit on floor and grasp handles. Position body supine hanging from handles with arms straight, shoulders under handles, body straight, and back of heels on floor.",Pull body up so sides of chest make contact with handles while keeping body straight. Pull shoulders back at top of movement with chest high. Return until arms are extended straight and shoulders are stretched forward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Erector Spinae, Gluteus Maximus, Hamstrings, ",,,Back,4,"Biceps Brachii, Trapezius, Rhomboids",197
Row,Suspended,No,Basic or Auxiliary,Compound,Pull,"Grasp suspension handles and momentarily step back until arms are extended forward and straight. While keeping arms straight and shoulders back, step forward so body reclines back behind suspension handles. Position body and legs straight at desired angle, hanging from handles with arms straight.",Pull body up so sides of chest make contact with handles while keeping body and legs straight. Pull shoulders back at top of movement with chest high. Return until arms are extended straight and shoulders are stretched forward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Erector Spinae, Gluteus Maximus, Hamstrings, ","Rectus Abdominis, Obliques, ","Biceps Brachii, Triceps, Long Head, ",Back,2,"Biceps Brachii, Trapezius, Rhomboids",
Row:  One Arm,Suspended,Yes,Basic or Auxiliary,Compound,Pull,"Grasp suspension handles and momentarily step back until arms are extended forward and straight. While keeping arms straight and shoulders back, step forward so body reclines back behind suspension handles. Position body and legs straight at desired angle, hanging from handles with arms straight.",Pull body up so sides of chest make contact with handles while keeping body and legs straight. Pull shoulders back at top of movement with chest high. Return until arms are extended straight and shoulders are stretched forward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Trapezius, Middle, Trapezius, Lower, Rhomboids, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Infraspinatus, Teres Minor, Brachialis, Brachioradialis, Pectoralis Major, Sternal, ","Erector Spinae, Gluteus Maximus, Hamstrings, ","Rectus Abdominis, Obliques, ","Biceps Brachii, Triceps, Long Head, ",Back,3,"Biceps Brachii, Trapezius, Rhomboids",199
Pull-up (open-centered bar),Assisted (machine),No,Basic,Compound,Pull,Step up and grasp bar with wide overhand grip. Kneel on padded platform and lower body down with arm extended.,Pull body up until neck reaches height of hands. Lower body until arms and shoulders are fully extended. Repeat.,"Latissimus Dorsi, Teres Major, Lower Trapezius, Rhomboids,","Brachialis, Brachioradialis, Biceps Brachii, Teres Major, Rhomboids, Levator Scapulae, Pectoralis Minor, Trapezius, Lower, Pectoralis Major, Sternal, Coracobrachialis, ",,,,Back,4,"Biceps Brachii, Trapezius, Rhomboids",
Pull-up (open-centered bar):  Standing,Assisted (machine),Yes,Basic,Compound,Pull,Step up and grasp bar with wide overhand grip. Step down onto assistance lever or platform.,Pull body up until neck reaches height of hands. Lower body until arms and shoulders are fully extended. Repeat.,"Latissimus Dorsi, Teres Major, Lower Trapezius, Rhomboids,","Brachialis, Brachioradialis, Biceps Brachii, Teres Major, Rhomboids, Levator Scapulae, Pectoralis Minor, Trapezius, Lower, Pectoralis Major, Sternal, Coracobrachialis, ",,,,Back,4,"Biceps Brachii, Trapezius, Rhomboids",201
